datetime, Max, Min, Average,
07/25/2017 22,21.79999924,21.5,21.61666698, 
07/25/2017 23,21.79999924,21.5,21.60500008, 
07/26/2017 00,21.79999924,21.60000038,21.66166712, 
07/26/2017 01,21.70000076,21.39999962,21.54000015, 
07/26/2017 02,21.5,21.39999962,21.49166663, 
07/26/2017 03,21.79999924,21.5,21.61833353, 
07/26/2017 04,21.79999924,21.5,21.60500027, 
07/26/2017 05,21.70000076,21.39999962,21.47999992, 
07/26/2017 06,22.29999924,21.60000038,21.9033335, 
07/26/2017 07,23.29999924,22.20000076,22.83499997, 
07/26/2017 08,23.79999924,23.29999924,23.58666677, 
07/26/2017 09,24.29999924,23.70000076,24.00333338, 
07/26/2017 10,25,24.20000076,24.83666665, 
07/26/2017 11,24.89999962,24.20000076,24.54166657, 
07/26/2017 12,27.29999924,25,26.02166678, 
07/26/2017 13,27.79999924,26.79999924,27.36666676, 
07/26/2017 14,27.5,26.70000076,27.13999999, 
07/26/2017 15,28.5,27,27.87999999, 
07/26/2017 16,27.79999924,25.60000038,26.31999995, 
07/26/2017 17,26.79999924,25.79999924,26.08833319, 
07/26/2017 18,25.79999924,24.39999962,24.84000012, 
07/26/2017 19,24.39999962,23.60000038,24.0983332, 
07/26/2017 20,23.60000038,22.79999924,23.1916666, 
07/26/2017 21,22.79999924,22.29999924,22.52833335, 
07/26/2017 22,22.39999962,21.70000076,22.03499997, 
07/26/2017 23,21.70000076,21.29999924,21.57166694, 
07/27/2017 00,21.29999924,21.20000076,21.22666702, 
07/27/2017 01,21.39999962,21.10000038,21.28999974, 
07/27/2017 02,21.10000038,20.89999962,20.97833325, 
07/27/2017 03,21.20000076,21,21.15666726, 
07/27/2017 04,21.29999924,21.20000076,21.25166664, 
07/27/2017 05,21.20000076,21.10000038,21.19545529, 
07/27/2017 06,21.79999924,21.20000076,21.36603794, 
07/27/2017 07,23.39999962,21.89999962,22.77999989, 
07/27/2017 08,25.20000076,23.29999924,24.54651167, 
07/27/2017 09,26.10000038,25.10000038,25.72333333, 
07/27/2017 10,27.39999962,25.70000076,26.47666667, 
07/27/2017 11,29.10000038,27.39999962,28.0516667, 
07/27/2017 12,29.29999924,28.10000038,28.79499995, 
07/27/2017 13,29.70000076,28.70000076,29.31166677, 
07/27/2017 14,30.20000076,29,29.6750001, 
07/27/2017 15,29.5,28.20000076,28.72833331, 
07/27/2017 16,28.79999924,27.89999962,28.24666662, 
07/27/2017 17,27.89999962,26.89999962,27.58461512, 
07/27/2017 18,26.79999924,25.5,26.15333331, 
07/27/2017 19,25.5,24.70000076,25.18833297, 
07/27/2017 20,24.79999924,24.20000076,24.61499987, 
07/27/2017 21,24.20000076,23.89999962,24.02333342, 
07/27/2017 22,23.89999962,23.70000076,23.85166613, 
07/27/2017 23,23.79999924,23,23.42666686, 
07/28/2017 00,23.10000038,22.70000076,22.97000014, 
07/28/2017 01,22.70000076,22.20000076,22.50833346, 
07/28/2017 02,22.20000076,21.89999962,22.05000019, 
07/28/2017 03,21.79999924,21.5,21.67333339, 
07/28/2017 04,21.5,21.29999924,21.40499964, 
07/28/2017 05,21.39999962,21.20000076,21.29333299, 
07/28/2017 06,22.39999962,21.39999962,21.88833335, 
07/28/2017 07,22.79999924,22.39999962,22.56666683, 
07/28/2017 08,23.70000076,22.89999962,23.12631572, 
07/28/2017 09,26.29999924,25,25.69999985, 
07/28/2017 10,27.39999962,25.79999924,26.44237266, 
