datetime, Max, Min, Average
03/04/2017 20, 17.8999996185, 16.2000007629, 17.138333288828335, 
03/04/2017 21, 16.1000003815, 15.5, 15.888333447784998, 
03/04/2017 22, 15.3999996185, 13.6000003815, 14.325000015901669, 
03/04/2017 23, 14.1000003815, 12.6999998093, 13.36999996502667, 
03/05/2017 00, 12.6000003815, 11.6000003815, 12.045000028613327, 
03/05/2017 01, 12.1999998093, 11.6999998093, 11.893333307903333, 
03/05/2017 02, 12, 10.8000001907, 11.294999933238334, 
03/05/2017 03, 11.6000003815, 10.3000001907, 10.85333337784, 
03/05/2017 04, 10.5, 9.39999961853, 10.05499997138284, 
03/05/2017 05, 9.89999961853, 9.39999961853, 9.621666526793836, 
03/05/2017 06, 9.80000019073, 9.30000019073, 9.618333276114509, 
03/05/2017 07, 11.8999996185, 9.69999980927, 10.638333288824503, 
03/05/2017 08, 16.7000007629, 12, 13.720000044503335, 
03/05/2017 09, 18, 15.8000001907, 17.100000079465, 
03/05/2017 10, 20.6000003815, 17.7000007629, 19.37833347320333, 
03/05/2017 11, 21, 19.7999992371, 20.388333225245002, 
03/05/2017 12, 21.8999996185, 21.1000003815, 21.501666736598338, 
03/05/2017 13, 22.7000007629, 21.3999996185, 22.03833344776498, 
03/05/2017 14, 23.2999992371, 21.7999992371, 22.520000012711662, 
03/05/2017 15, 23.3999996185, 22.1000003815, 22.760000197088328, 
03/05/2017 16, 22.8999996185, 21.3999996185, 22.136666488643343, 
03/05/2017 17, 21.3999996185, 19.6000003815, 20.531666533156663, 
03/05/2017 18, 19.6000003815, 18, 18.751666768391665, 
03/05/2017 19, 18, 16.7999992371, 17.390000057223332, 
03/05/2017 20, 16.7999992371, 15.1999998093, 15.94166674612999, 
03/05/2017 21, 15.3000001907, 13.3999996185, 14.243333371483338, 
03/05/2017 22, 13.6000003815, 11.8999996185, 12.629999955496666, 
03/05/2017 23, 12, 10.6999998093, 11.50999989509, 
03/06/2017 00, 10.8999996185, 10.3000001907, 10.621666638056661, 
03/06/2017 01, 10.3000001907, 9.39999961853, 9.978333234802504, 
03/06/2017 02, 9.5, 8.80000019073, 9.236666599909338, 
03/06/2017 03, 8.89999961853, 8.39999961853, 8.613333241145165, 
03/06/2017 04, 8.60000038147, 7.90000009537, 8.305000066756998, 
03/06/2017 05, 8, 7.80000019073, 7.853333473203161, 
03/06/2017 06, 8, 7.5, 7.691666674613164, 
03/06/2017 07, 10.6999998093, 8, 9.2100000063605, 
03/06/2017 08, 15.6000003815, 10.6999998093, 12.964999977751667, 
03/06/2017 09, 17.8999996185, 15, 16.513333511348335, 
03/06/2017 10, 20.2999992371, 17.8999996185, 19.386666393284997, 
03/06/2017 11, 21.7999992371, 19.6000003815, 21.06166677474832, 
03/06/2017 12, 23, 21.3999996185, 22.230000019075003, 
03/06/2017 13, 23, 22.2000007629, 22.654999828335008, 
03/06/2017 14, 23.1000003815, 22.2000007629, 22.693333339691673, 
03/06/2017 15, 23, 21.8999996185, 22.373333295188328, 
03/06/2017 16, 22, 20.6000003815, 21.30166689554666, 
03/06/2017 17, 20.7000007629, 19, 20.05333340962333, 
03/06/2017 18, 19, 17.6000003815, 18.270000076284994, 
03/06/2017 19, 17.6000003815, 16.7000007629, 17.050000000000004, 
03/06/2017 20, 16.7000007629, 15.1999998093, 15.794999996808338, 
03/06/2017 21, 15.1000003815, 14, 14.546666669849998, 
03/06/2017 22, 14, 13, 13.476666752506668, 
03/06/2017 23, 13.1000003815, 12.1000003815, 12.48999994594666, 
03/07/2017 00, 12.1000003815, 11, 11.596666638053332, 
03/07/2017 01, 11.1000003815, 10.3000001907, 10.683333317428325, 
03/07/2017 02, 10.3000001907, 9.69999980927, 10.094999949146672, 
03/07/2017 03, 9.80000019073, 9.10000038147, 9.515000057220668, 
03/07/2017 04, 9.39999961853, 9, 9.225000000000659, 
03/07/2017 05, 9.30000019073, 8.69999980927, 8.995000076293667, 
03/07/2017 06, 8.89999961853, 8.5, 8.69000000953717, 
03/07/2017 07, 11.1999998093, 9, 9.893333339694497, 
03/07/2017 08, 14.6000003815, 11.3000001907, 12.690000057221663, 
03/07/2017 09, 17.1000003815, 14.6000003815, 15.621666749319997, 
03/07/2017 10, 19.2000007629, 17.1000003815, 18.32833344141833, 
03/07/2017 11, 21.5, 19.1000003815, 20.129999860133335, 
03/07/2017 12, 21.6000003815, 20.6000003815, 21.18166672387667, 
03/07/2017 13, 22.7000007629, 20.7999992371, 21.848333358763334, 
03/07/2017 14, 22.6000003815, 21.7000007629, 22.124999968215004, 
03/07/2017 15, 22.5, 21.7999992371, 22.111666838321675, 
03/07/2017 16, 22.1000003815, 20.2999992371, 21.450000031785002, 
03/07/2017 17, 20.2999992371, 18.1000003815, 19.201666641235, 
03/07/2017 18, 18.1000003815, 17, 17.483333428706665, 
03/07/2017 19, 16.8999996185, 16.2000007629, 16.56666666665334, 
03/07/2017 20, 16.2000007629, 15, 15.650000063579997, 
03/07/2017 21, 14.8999996185, 13.8999996185, 14.436666615803338, 
03/07/2017 22, 13.8999996185, 13.3000001907, 13.536666822435004, 
03/07/2017 23, 13.3999996185, 12.6000003815, 12.970000076299998, 
03/08/2017 00, 12.6999998093, 12.1000003815, 12.408333444615012, 
03/08/2017 01, 12.1000003815, 11.6999998093, 11.954999955491667, 
03/08/2017 02, 11.6999998093, 10.3999996185, 11.08000006676333, 
03/08/2017 03, 10.6000003815, 10.1999998093, 10.458333460498341, 
03/08/2017 04, 10.1999998093, 9.80000019073, 10.016666666677498, 
03/08/2017 05, 10, 8.89999961853, 9.328333330155004, 
03/08/2017 06, 9.80000019073, 9.30000019073, 9.499999920527335, 
03/08/2017 07, 11.6000003815, 9.80000019073, 10.408333301547668, 
03/08/2017 08, 14.3000001907, 11.6000003815, 12.884999926883333, 
03/08/2017 09, 17.6000003815, 14.3999996185, 16.255000034968337, 
03/08/2017 10, 19.2000007629, 16.8999996185, 18.135000165296667, 
03/08/2017 11, 20.8999996185, 18.6000003815, 20.360000006366665, 
03/08/2017 12, 21.2999992371, 20.6000003815, 20.916666762031678, 
03/08/2017 13, 22.5, 21, 22.069999885551667, 
03/08/2017 14, 22.2000007629, 21.3999996185, 21.838333288824995, 
03/08/2017 15, 22.3999996185, 21.2000007629, 21.606666660306665, 
03/08/2017 16, 21.6000003815, 20.6000003815, 21.05500014623667, 
03/08/2017 17, 21, 18.5, 19.663333320616662, 
03/08/2017 18, 18.3999996185, 17.6000003815, 17.88999980291333, 
03/08/2017 19, 17.6000003815, 16.8999996185, 17.120000076283343, 
03/08/2017 20, 16.8999996185, 15.3000001907, 15.958333301538334, 
03/08/2017 21, 15.3000001907, 14.5, 14.795000203464989, 
03/08/2017 22, 14.3999996185, 13.6999998093, 14.068333419170006, 
03/08/2017 23, 13.6999998093, 12.8000001907, 13.439999945969996, 
03/09/2017 00, 12.6999998093, 12, 12.390000009541664, 
03/09/2017 01, 12.1999998093, 11.3000001907, 11.883333317448335, 
03/09/2017 02, 11.3000001907, 10.6000003815, 10.916666555401667, 
03/09/2017 03, 11.3999996185, 10.8000001907, 11.021666669841668, 
03/09/2017 04, 12, 11.1999998093, 11.513333304706665, 
03/09/2017 05, 12, 11.8000001907, 11.906666453654994, 
03/09/2017 06, 12, 11.6000003815, 11.848333390559992, 
03/09/2017 07, 13.3000001907, 11.6999998093, 12.606666676201662, 
03/09/2017 08, 14.3000001907, 13.3000001907, 13.796666606268339, 
03/09/2017 09, 15, 14, 14.381666771579997, 
03/09/2017 10, 18.2000007629, 15.1000003815, 16.806666707994996, 
03/09/2017 11, 19.7999992371, 17.7000007629, 18.693333244328333, 
03/09/2017 12, 20.7999992371, 19.2000007629, 20.069999917344997, 
03/09/2017 13, 21, 20, 20.418333339691667, 
03/09/2017 14, 22.2000007629, 20.7999992371, 21.518333276113346, 
03/09/2017 15, 22.2999992371, 20.6000003815, 21.568333371474992, 
03/09/2017 16, 20.5, 19.6000003815, 19.908333237961667, 
03/09/2017 17, 20.1000003815, 18.2999992371, 19.266666666663337, 
03/09/2017 18, 18.2999992371, 17.1000003815, 17.58666671117, 
03/09/2017 19, 17, 16.7999992371, 16.92499971390167, 
03/09/2017 20, 16.7999992371, 16, 16.468333466843337, 
03/09/2017 21, 15.8999996185, 14.6000003815, 15.289999993628326, 
03/09/2017 22, 14.6000003815, 13.3999996185, 13.93999991416, 
03/09/2017 23, 13.6000003815, 12.8999996185, 13.201666609443341, 
03/10/2017 00, 12.8999996185, 12.1000003815, 12.386666695283335, 
03/10/2017 01, 12.1999998093, 11.1999998093, 11.573333247503339, 
03/10/2017 02, 11.8999996185, 10.8999996185, 11.435000038151669, 
