datetime, Max, Min, Average,
08/10/2018 09,26.89999962,24.10000038,25.20333331, 
08/10/2018 10,27.29999924,25.70000076,26.41666663, 
08/10/2018 11,27.39999962,26.20000076,26.71833337, 
08/10/2018 12,27.79999924,26.70000076,27.0966665, 
08/10/2018 13,28.20000076,26.70000076,27.29999994, 
08/10/2018 14,27.39999962,26.39999962,26.84166654, 
08/10/2018 15,27,24.79999924,26.48666665, 
08/10/2018 16,24.60000038,23.39999962,23.81833331, 
08/10/2018 17,24,23.79999924,23.91186407, 
08/10/2018 18,23.89999962,23.39999962,23.70999988, 
08/10/2018 19,23.5,23.20000076,23.32499994, 
08/10/2018 20,23.29999924,23.10000038,23.19833352, 
08/10/2018 21,23.10000038,23,23.05333354, 
08/10/2018 22,23.10000038,22.79999924,22.92999973, 
08/10/2018 23,22.89999962,22.79999924,22.81833264, 
08/11/2018 00,22.89999962,22.70000076,22.84666646, 
08/11/2018 01,22.79999924,22.70000076,22.75499992, 
08/11/2018 02,22.79999924,22,22.24166695, 
08/11/2018 03,22,21.89999962,21.91499968, 
08/11/2018 04,21.89999962,21.70000076,21.82666632, 
08/11/2018 05,21.70000076,20.70000076,21.16000023, 
08/11/2018 06,20.70000076,20.39999962,20.52000008, 
08/11/2018 07,20.79999924,20.20000076,20.50999997, 
08/11/2018 08,21.39999962,20.10000038,20.73833323, 
08/11/2018 09,23.29999924,21.29999924,22.26610168, 
08/11/2018 10,24.5,23.29999924,23.91833344, 
08/11/2018 11,25.29999924,24.20000076,24.71833309, 
08/11/2018 12,26.89999962,25.29999924,25.95666672, 
08/11/2018 13,27.20000076,25.89999962,26.46666663, 
08/11/2018 14,26.70000076,25.79999924,26.2916666, 
08/11/2018 15,25.89999962,25.20000076,25.52333307, 
08/11/2018 16,25.79999924,24.70000076,25.36666641, 
08/11/2018 17,24.70000076,23.39999962,23.94833336, 
08/11/2018 18,23.29999924,22.39999962,22.96333342, 
08/11/2018 19,22.39999962,21.5,21.91333329, 
08/11/2018 20,21.79999924,21.5,21.66333357, 
08/11/2018 21,22.10000038,21.60000038,21.82033898, 
08/11/2018 22,22.29999924,22,22.13833377, 
08/11/2018 23,22.20000076,22,22.0616669, 
08/12/2018 00,22.10000038,21.89999962,21.94499979, 
08/12/2018 01,21.89999962,21.79999924,21.8949996, 
08/12/2018 02,22,21.79999924,21.89999962, 
08/12/2018 03,21.79999924,21.5,21.56666676, 
08/12/2018 04,21.60000038,21.5,21.50166667, 
08/12/2018 05,21.5,21.29999924,21.3516661, 
08/12/2018 06,21.79999924,21.20000076,21.44666675, 
08/12/2018 07,22.79999924,21.79999924,22.19333324, 
