datetime, Max, Min, Average,
08/06/2017 10,28.60000038,25.79999924,27.3411765, 
08/06/2017 11,29.79999924,28.60000038,29.25932209, 
08/06/2017 12,29.10000038,28.29999924,28.73500004, 
08/06/2017 13,29.39999962,28.79999924,29.0416667, 
08/06/2017 14,29.79999924,28.29999924,29.20166664, 
08/06/2017 15,28.20000076,24.60000038,25.93833342, 
08/06/2017 16,24.5,23.89999962,24.11166674, 
08/06/2017 17,24.39999962,24.10000038,24.29499966, 
08/06/2017 18,24.70000076,24.20000076,24.44333318, 
08/06/2017 19,24.5,24.20000076,24.33750002, 
08/06/2017 20,24.39999962,24.10000038,24.27173913, 
08/06/2017 21,24.20000076,24,24.06333357, 
08/06/2017 22,24.39999962,23.79999924,24.10181815, 
08/06/2017 23,23.79999924,23.39999962,23.70384605, 
08/07/2017 00,23.29999924,22.10000038,22.43000031, 
08/07/2017 01,22.29999924,22.10000038,22.22666686, 
08/07/2017 02,22.60000038,22.29999924,22.43333308, 
08/07/2017 03,22.5,22.39999962,22.42999973, 
08/07/2017 04,22.60000038,22.39999962,22.4749999, 
08/07/2017 05,22.60000038,22.29999924,22.49499998, 
08/07/2017 06,22.89999962,22.5,22.6933334, 
08/07/2017 07,23.60000038,22.79999924,23.17333317, 
08/07/2017 08,25.79999924,23.60000038,24.63333337, 
08/07/2017 09,26.10000038,25.60000038,25.83965476, 
08/07/2017 10,27.10000038,26.60000038,26.80000008, 
08/07/2017 11,28.60000038,27,27.86833321, 
08/07/2017 12,28.89999962,27.60000038,28.17166665, 
08/07/2017 13,28.79999924,27.89999962,28.46333335, 
08/07/2017 14,28.10000038,25.70000076,26.4000001, 
08/07/2017 15,26.79999924,26.20000076,26.57586223, 
08/07/2017 16,28.10000038,26.5,27.14642872, 
08/07/2017 17,26.60000038,25.20000076,25.8383331, 
08/07/2017 18,25.60000038,25.20000076,25.34499998, 
08/07/2017 19,25.60000038,24.5,24.87333358, 
08/07/2017 20,24.79999924,24.39999962,24.59333366, 
08/07/2017 21,24.39999962,24,24.13500029, 
08/07/2017 22,24.20000076,23.89999962,24.09333369, 
08/07/2017 23,23.89999962,23.5,23.63000008, 
08/08/2017 00,23.60000038,23.29999924,23.40666631, 
08/08/2017 01,23.39999962,23.20000076,23.24500014, 
08/08/2017 02,23.20000076,22.70000076,22.90499996, 
08/08/2017 03,22.79999924,22.60000038,22.72500006, 
08/08/2017 04,22.60000038,22.39999962,22.54222238, 
08/08/2017 05,22.5,22.29999924,22.38421008, 
08/08/2017 06,23.60000038,22.39999962,22.92068962, 
08/08/2017 07,24.10000038,23.60000038,23.68292729, 
08/08/2017 08,25.70000076,24.20000076,24.87586238, 
08/08/2017 09,26.89999962,25.29999924,26.04999994, 
08/08/2017 10,27.10000038,26.29999924,26.65762711, 
08/08/2017 11,27.39999962,26.20000076,26.86000004, 
08/08/2017 12,28.10000038,26.89999962,27.41999998, 
08/08/2017 13,28.60000038,27.70000076,28.15666676, 
08/08/2017 14,28.89999962,27.79999924,28.43166666, 
08/08/2017 15,27.79999924,26.29999924,26.97166678, 
08/08/2017 16,26.60000038,26.10000038,26.39999984, 
08/08/2017 17,26.29999924,25.29999924,25.81379275, 
08/08/2017 18,25,24.60000038,24.87894751, 
08/08/2017 19,24.70000076,24.5,24.60789515, 
08/08/2017 20,24.60000038,23.79999924,24.27948717, 
08/08/2017 21,23.79999924,22.39999962,23.09833323, 
08/08/2017 22,22.5,22.10000038,22.32333336, 
08/08/2017 23,22.20000076,21.89999962,22.1050004, 
08/09/2017 00,22,21.79999924,21.89999962, 
08/09/2017 01,22.20000076,21.89999962,22.09666704, 
08/09/2017 02,21.89999962,21.79999924,21.88666623, 
08/09/2017 03,21.89999962,21.70000076,21.78636312, 
08/09/2017 04,21.70000076,21.39999962,21.54642875, 
08/09/2017 05,21.79999924,21.5,21.64814822, 
08/09/2017 06,22.5,21.89999962,22.20499996, 
08/09/2017 07,22.89999962,22.5,22.6899999, 
08/09/2017 08,23.29999924,22.79999924,23.03333343, 
08/09/2017 09,23.79999924,22.79999924,23.25166661, 
08/09/2017 10,25.20000076,23.79999924,24.70999994, 
08/09/2017 11,25.79999924,25.10000038,25.42333339, 
08/09/2017 12,26,25,25.4149999, 
08/09/2017 13,28,26,27.33833326, 
08/09/2017 14,28,27.60000038,27.81578912, 
08/09/2017 15,28.29999924,25.79999924,27.22045439, 
08/09/2017 16,25.70000076,23.60000038,25.08000014, 
08/09/2017 17,23.5,23,23.20222261, 
08/09/2017 18,23.10000038,22.20000076,22.52833312, 
08/09/2017 19,22.20000076,21.89999962,22.13478312, 
08/09/2017 20,21.89999962,21.60000038,21.73666697, 
08/09/2017 21,22,21.70000076,21.78333349, 
08/09/2017 22,22.10000038,21.89999962,21.99833333, 
08/09/2017 23,22,21.89999962,21.91833302, 
08/10/2017 00,22.10000038,21.89999962,21.98333327, 
08/10/2017 01,22.10000038,21.89999962,22.00166667, 
08/10/2017 02,22,21.89999962,21.90499964, 
08/10/2017 03,21.89999962,21.29999924,21.5399999, 
08/10/2017 04,21.29999924,21.20000076,21.20333405, 
