datetime, Max, Min, Average,
04/01/2018 00,15.69999981,15,15.30166669, 
04/01/2018 01,15,14.69999981,14.83333322, 
04/01/2018 02,14.69999981,13.80000019,14.18166661, 
04/01/2018 03,13.80000019,13.5,13.58833351, 
04/01/2018 04,13.5,12.89999962,13.20333328, 
04/01/2018 05,13.69999981,12.89999962,13.33833326, 
04/01/2018 06,14.30000019,13.69999981,13.87307692, 
04/01/2018 07,16,14.30000019,15.11999991, 
04/01/2018 08,19.20000076,16,17.55084749, 
04/01/2018 09,21.20000076,19.20000076,20.11071447, 
04/01/2018 10,22.89999962,20.79999924,21.57017554, 
04/01/2018 11,23.39999962,22.5,22.94000003, 
04/01/2018 12,24.29999924,23.10000038,23.75166674, 
04/01/2018 13,25.10000038,23.79999924,24.56896558, 
04/01/2018 14,25.39999962,24.10000038,24.71372552, 
04/01/2018 15,25.70000076,24.39999962,24.97142867, 
04/01/2018 16,25,23.79999924,24.41578942, 
04/01/2018 17,23.79999924,22.70000076,23.20238068, 
04/01/2018 18,22.70000076,21.89999962,22.29000012, 
04/01/2018 19,21.79999924,20.79999924,21.3233333, 
04/01/2018 20,20.79999924,19.89999962,20.40833333, 
04/01/2018 21,20.10000038,19.29999924,19.63333314, 
04/01/2018 22,19.29999924,18.39999962,18.86140358, 
04/01/2018 23,18.5,17.89999962,18.20697682, 
04/02/2018 00,17.89999962,17.10000038,17.48163262, 
04/02/2018 01,17.5,17,17.32413798, 
04/02/2018 02,17.5,17.20000076,17.30185173, 
04/02/2018 03,17.20000076,16.89999962,17.02833344, 
04/02/2018 04,17.10000038,16.70000076,16.99333337, 
04/02/2018 05,16.70000076,15.80000019,16.25500008, 
04/02/2018 06,16.70000076,15.80000019,16.19500022, 
04/02/2018 07,17.79999924,16.70000076,17.23666665, 
04/02/2018 08,20.60000038,17.79999924,19.15666672, 
04/02/2018 09,22,20.39999962,21.18135595, 
04/02/2018 10,24,22.60000038,23.57500005, 
04/02/2018 11,26,23.79999924,24.79666678, 
04/02/2018 12,26.79999924,25.5,26.08245595, 
04/02/2018 13,27,26,26.5227271, 
04/02/2018 14,27.60000038,26.39999962,26.90212761, 
04/02/2018 15,26.60000038,25.79999924,26.13888894, 
04/02/2018 16,26.10000038,25.29999924,25.61896538, 
04/02/2018 17,25.10000038,23.89999962,24.66153845, 
04/02/2018 18,23.89999962,21.89999962,23.10000004, 
04/02/2018 19,21.70000076,19.70000076,20.82553186, 
04/02/2018 20,19.60000038,17.89999962,18.67659581, 
04/02/2018 21,17.79999924,15.69999981,16.83043472, 
04/02/2018 22,15.80000019,14.69999981,15.44324326, 
04/02/2018 23,14.69999981,14.39999962,14.51500001, 
04/03/2018 00,15,14.60000038,14.82, 
04/03/2018 01,15.10000038,14.69999981,14.92333331, 
04/03/2018 02,15.19999981,14.80000019,14.9649999, 
04/03/2018 03,14.80000019,14.19999981,14.53000007, 
04/03/2018 04,14.30000019,14.10000038,14.19666657, 
04/03/2018 05,14.10000038,13.69999981,13.84000004, 
04/03/2018 06,14.30000019,13.80000019,14.00333328, 
04/03/2018 07,15.80000019,14.30000019,15.01999998, 
04/03/2018 08,18.29999924,15.80000019,17.30499999, 
04/03/2018 09,20.79999924,18.29999924,19.78333327, 
04/03/2018 10,23.89999962,20.89999962,22.14067799, 
04/03/2018 11,25.20000076,23.79999924,24.44666675, 
04/03/2018 12,26.10000038,24.79999924,25.64716969, 
04/03/2018 13,26.10000038,24.70000076,25.57727285, 
04/03/2018 14,25,23.70000076,24.15499999, 
04/03/2018 15,24.5,22.70000076,23.58999993, 
04/03/2018 16,22.79999924,20.89999962,21.98305107, 
04/03/2018 17,20.89999962,20.39999962,20.60666669, 
04/03/2018 18,21,19.5,20.35833333, 
04/03/2018 19,19.60000038,19.5,19.55333354, 
04/03/2018 20,19.60000038,19.20000076,19.35999956, 
04/03/2018 21,19.20000076,18.89999962,18.98833329, 
04/03/2018 22,19,18.5,18.80499996, 
04/03/2018 23,18.79999924,17.5,18.43500007, 
04/04/2018 00,17.5,16.5,16.83833357, 
04/04/2018 01,16.5,16.10000038,16.35999982, 
04/04/2018 02,16.10000038,15.5,15.68666674, 
04/04/2018 03,15.5,15.30000019,15.4166664, 
04/04/2018 04,15.39999962,15,15.19833341, 
04/04/2018 05,15.10000038,14.5,14.75500013, 
04/04/2018 06,15.39999962,14.39999962,14.76666654, 
04/04/2018 07,16.89999962,15.39999962,16.02833331, 
04/04/2018 08,19.39999962,16.89999962,18.44499992, 
04/04/2018 09,21.10000038,19.29999924,20.09333328, 
04/04/2018 10,22.89999962,20.70000076,22.01833324, 
04/04/2018 11,23.79999924,22.60000038,23.44333344, 
04/04/2018 12,22.60000038,15.19999981,19.09166671, 
04/04/2018 13,17.60000038,15.19999981,16.18500001, 
04/04/2018 14,17.60000038,17.10000038,17.35499989, 
04/04/2018 15,17.20000076,15.80000019,16.14833341, 
04/04/2018 16,16.5,15.80000019,15.97000014, 
04/04/2018 17,16.5,15.89999962,16.23833345, 
04/04/2018 18,15.89999962,15.39999962,15.70499996, 
04/04/2018 19,15.39999962,14.69999981,14.99499989, 
04/04/2018 20,14.69999981,13.69999981,14.01333327, 
04/04/2018 21,13.89999962,13.60000038,13.71000002, 
04/04/2018 22,13.80000019,13.60000038,13.70454539, 
04/04/2018 23,13.89999962,13.60000038,13.72881367, 
04/05/2018 00,13.80000019,13.69999981,13.70952366, 
04/05/2018 01,14.19999981,13.69999981,13.93, 
04/05/2018 02,14.10000038,13.60000038,13.86333342, 
04/05/2018 03,13.60000038,13.39999962,13.49833333, 
04/05/2018 04,13.80000019,13.5,13.68500001, 
04/05/2018 05,13.80000019,13.69999981,13.79166683, 
04/05/2018 06,13.80000019,13.69999981,13.78500013, 
04/05/2018 07,14.69999981,13.69999981,14.08166666, 
04/05/2018 08,17.29999924,14.80000019,15.98333349, 
04/05/2018 09,20.10000038,17.20000076,18.87666667, 
04/05/2018 10,21.10000038,19.89999962,20.32545457, 
04/05/2018 11,21.60000038,21,21.2227273, 
04/05/2018 12,22.20000076,21.29999924,21.63846158, 
04/05/2018 13,23,22.29999924,22.69166673, 
04/05/2018 14,22.39999962,22,22.22000017, 
04/05/2018 15,22.5,21.89999962,22.14166679, 
04/05/2018 16,22.79999924,22.10000038,22.46833337, 
04/05/2018 17,22.10000038,21.60000038,21.88333317, 
04/05/2018 18,21.5,20.20000076,20.94655178, 
04/05/2018 19,20.10000038,19.20000076,19.6563635, 
04/05/2018 20,19.20000076,18,18.50166664, 
04/05/2018 21,18.10000038,17.10000038,17.62500006, 
04/05/2018 22,17.10000038,16.29999924,16.59166644, 
04/05/2018 23,16.5,16,16.22166678, 
04/06/2018 00,16,15.10000038,15.47833336, 
04/06/2018 01,15.10000038,15,15.06000023, 
04/06/2018 02,15.30000019,15.10000038,15.27333344, 
04/06/2018 03,15.39999962,15.30000019,15.31166679, 
04/06/2018 04,15.39999962,15.19999981,15.29322047, 
04/06/2018 05,15.19999981,15.10000038,15.15166675, 
04/06/2018 06,15.60000038,15.30000019,15.41666644, 
04/06/2018 07,17.29999924,15.60000038,16.51666675, 
04/06/2018 08,20,17.29999924,18.69999994, 
04/06/2018 09,21.70000076,19.79999924,20.72333333, 
04/06/2018 10,24.10000038,21.79999924,22.95666676, 
