datetime, Max, Min, Average
06/05/2017 00, 25.2999992371, 24.6000003815, 25.08000030518, 
06/05/2017 01, 24.3999996185, 24, 24.233332951866668, 
06/05/2017 02, 23.6000003815, 23.5, 23.575000286125, 
06/05/2017 03, 23.5, 23.1000003815, 23.311111238266665, 
06/05/2017 04, 23.5, 23.1000003815, 23.316666603083334, 
06/05/2017 05, 23.7000007629, 23.5, 23.583333651233332, 
06/05/2017 06, 24, 23.6000003815, 23.799999713925, 
06/05/2017 07, 25.5, 24.3999996185, 24.90000016347143, 
06/05/2017 08, 25.7000007629, 25.7000007629, 25.7000007629, 
06/05/2017 09, 27.3999996185, 27.3999996185, 27.3999996185, 
06/05/2017 10, 26.8999996185, 26.7999992371, 26.824999332450002, 
06/05/2017 11, 28.5, 27.5, 28, 
06/05/2017 12, 28.2000007629, 27.7000007629, 27.916666666666668, 
06/05/2017 13, 29.6000003815, 28.6000003815, 29.1500000954, 
06/05/2017 14, 29.7999992371, 24.2000007629, 27.98888884651111, 
06/05/2017 15, 22.2999992371, 21.5, 21.8250000476875, 
06/05/2017 16, 21.8999996185, 21.2000007629, 21.43999989827334, 
06/05/2017 17, 22.6000003815, 22.2000007629, 22.44444444443333, 
06/05/2017 18, 22.6000003815, 22.2000007629, 22.447368320663156, 
06/05/2017 19, 22.3999996185, 22.1000003815, 22.278571265085713, 
06/05/2017 20, 22.1000003815, 21.6000003815, 21.887499809287497, 
06/05/2017 21, 22, 21.7000007629, 21.855555216488888, 
06/05/2017 22, 21.8999996185, 21.8999996185, 21.8999996185, 
06/05/2017 23, 21.8999996185, 21.7000007629, 21.844444274877777, 
06/06/2017 00, 21.7000007629, 21.6000003815, 21.666667302433336, 
06/06/2017 01, 21.6000003815, 21.2999992371, 21.455555386011113, 
06/06/2017 02, 21.3999996185, 21.2999992371, 21.31111039058889, 
06/06/2017 03, 21.6000003815, 21.2999992371, 21.50000000002222, 
06/06/2017 04, 21.7000007629, 21.5, 21.5750002861125, 
06/06/2017 05, 21.7000007629, 21.6000003815, 21.68000068662, 
06/06/2017 06, 22.1000003815, 21.7000007629, 21.946666590373336, 
06/06/2017 07, 22, 21.2999992371, 21.5599998474, 
06/06/2017 08, 22.2999992371, 21.5, 21.85624980926875, 
06/06/2017 09, 23, 22.1000003815, 22.42857156482143, 
06/06/2017 10, 24.2000007629, 23.1000003815, 23.64000053406, 
06/06/2017 11, 25.2000007629, 24.2999992371, 24.66666698455, 
06/06/2017 12, 26.3999996185, 25.7000007629, 25.93999996185, 
06/06/2017 13, 27.3999996185, 26.3999996185, 26.739999771100003, 
06/06/2017 14, 27.1000003815, 26.7000007629, 26.933333396916666, 
06/06/2017 15, 27, 26.5, 26.75, 
06/06/2017 16, 27, 25.8999996185, 26.299999872833336, 
06/06/2017 17, 25.8999996185, 24.7000007629, 25.3052633185, 
06/06/2017 18, 24.7000007629, 24.1000003815, 24.485714776157142, 
06/06/2017 19, 24.1000003815, 23.7999992371, 23.89999961855714, 
06/06/2017 20, 23.7999992371, 23.1000003815, 23.4499998093, 
06/06/2017 21, 22.8999996185, 22.2999992371, 22.63999996184, 
06/06/2017 22, 22.2999992371, 22.2000007629, 22.22000045774, 
06/06/2017 23, 22.6000003815, 22.6000003815, 22.6000003815, 
06/07/2017 00, 21.8999996185, 21.7999992371, 21.85999946594, 
06/07/2017 01, 21.7000007629, 21.2000007629, 21.4500002861, 
06/07/2017 02, 21.2000007629, 21.1000003815, 21.125000476849998, 
06/07/2017 03, 21.3999996185, 21.2000007629, 21.283333460466668, 
06/07/2017 04, 21.3999996185, 21.2000007629, 21.30000005447143, 
06/07/2017 05, 21.6000003815, 21.2000007629, 21.36666658188889, 
06/07/2017 06, 22.1000003815, 21.7000007629, 21.93846159714615, 
06/07/2017 07, 23.7000007629, 22.3999996185, 23.157143456557144, 
06/07/2017 08, 24.6000003815, 23.8999996185, 24.22142873491429, 
06/07/2017 09, 25.1000003815, 25, 25.050000190749998, 
06/07/2017 10, 25.3999996185, 24.7000007629, 25.033333460466668, 
06/07/2017 11, 26.5, 25.5, 25.888235316552937, 
06/07/2017 12, 27, 26.1000003815, 26.67833331425999, 
06/07/2017 13, 26.3999996185, 25.7999992371, 26.16166677475668, 
06/07/2017 14, 26.7999992371, 25.8999996185, 26.358333301539997, 
06/07/2017 15, 26, 25.6000003815, 25.803921045066666, 
06/07/2017 16, 26.2999992371, 25.6000003815, 25.94680859180214, 
06/07/2017 17, 26, 25.3999996185, 25.624999936410006, 
06/07/2017 18, 25.3999996185, 24.5, 24.881666628526652, 
06/07/2017 19, 24.5, 24, 24.284999879194995, 
06/07/2017 20, 24.1000003815, 23.6000003815, 23.848387195222568, 
06/07/2017 21, 23.7000007629, 23, 23.445614128794745, 
06/07/2017 22, 23.2000007629, 22.6000003815, 22.905000178019996, 
06/07/2017 23, 22.7000007629, 22.2999992371, 22.53800014497001, 
06/08/2017 00, 22.2999992371, 22.1000003815, 22.175862575389633, 
06/08/2017 01, 22.1000003815, 21.7999992371, 21.980555481383337, 
06/08/2017 02, 21.7000007629, 21.5, 21.640000534045715, 
06/08/2017 03, 21.6000003815, 21.3999996185, 21.51025644938462, 
06/08/2017 04, 21.5, 21, 21.228125214568745, 
06/08/2017 05, 21.1000003815, 20.7999992371, 20.92121182065151, 
06/08/2017 07, 22.2999992371, 22, 22.116666793833332, 
06/08/2017 09, 25.7999992371, 24.7999992371, 25.33181823384091, 
06/08/2017 10, 27.8999996185, 26.7000007629, 27.57073169800731, 
06/08/2017 11, 28.6000003815, 27.8999996185, 28.24827575684137, 
06/08/2017 12, 27.3999996185, 27.2999992371, 27.383332888266665, 
06/08/2017 13, 25.3999996185, 21.7999992371, 23.288888825311112, 
06/08/2017 14, 22.6000003815, 21.6000003815, 22.291999931338008, 
06/08/2017 15, 22.8999996185, 22.3999996185, 22.617391337504348, 
06/08/2017 16, 23.6000003815, 22.7999992371, 23.209523700538096, 
06/08/2017 17, 24.2000007629, 23.3999996185, 23.700000158158534, 
06/08/2017 18, 23.3999996185, 22.8999996185, 23.12068955651896, 
06/08/2017 19, 22.8999996185, 22.6000003815, 22.760869565213046, 
06/08/2017 20, 22.6000003815, 22.2000007629, 22.427778032094448, 
06/08/2017 21, 22.2000007629, 21.6000003815, 21.900000052013635, 
06/08/2017 22, 21.2999992371, 20.8999996185, 21.145000362385005, 
06/08/2017 23, 20.8999996185, 20.5, 20.717646879317645, 
06/09/2017 00, 20.6000003815, 20.2999992371, 20.527272831327267, 
06/09/2017 01, 20.5, 20, 20.361111005133335, 
06/09/2017 02, 20, 19.7999992371, 19.912499666200002, 
06/09/2017 03, 19.6000003815, 19.3999996185, 19.4599998474, 
06/09/2017 04, 19.6000003815, 19.3999996185, 19.499999999999993, 
06/09/2017 05, 20, 19.3999996185, 19.618749976162498, 
06/09/2017 06, 20.7000007629, 20.1000003815, 20.37272748078182, 
06/09/2017 07, 22.5, 21.1000003815, 21.806667073553335, 
06/09/2017 08, 24.7000007629, 22.7000007629, 23.557143075114286, 
06/09/2017 09, 26.5, 24.6000003815, 25.568750143062502, 
06/09/2017 10, 27.6000003815, 26.2999992371, 27.049999918278576, 
06/09/2017 11, 28.6000003815, 27.3999996185, 27.996153758119235, 
06/09/2017 12, 29.2000007629, 28.2000007629, 28.649999777475, 
06/09/2017 13, 28.2999992371, 28, 28.159999847429997, 
06/09/2017 14, 29, 26.7999992371, 28.01666609448333, 
06/09/2017 15, 26.7000007629, 25.7999992371, 26.2625000476875, 
06/09/2017 16, 22.2999992371, 20.2999992371, 21.333333227377782, 
06/09/2017 17, 22.6000003815, 21.7999992371, 22.38999996186, 
06/09/2017 18, 22.1000003815, 21.7999992371, 21.983333269758333, 
06/09/2017 19, 21.8999996185, 21.5, 21.699999895968183, 
06/09/2017 20, 21.6000003815, 21.5, 21.563636606409094, 
06/09/2017 21, 21.3999996185, 21.2999992371, 21.364285196571423, 
06/09/2017 22, 21.7999992371, 21.6000003815, 21.665000438689997, 
06/09/2017 23, 21.7999992371, 21.6000003815, 21.749999523200007, 
06/10/2017 00, 21.5, 21.1000003815, 21.233333587644452, 
06/10/2017 01, 21.1000003815, 20.8999996185, 21, 
06/10/2017 02, 21, 20.8999996185, 20.943478045239125, 
06/10/2017 03, 21, 20.7999992371, 20.94166644413333, 
06/10/2017 04, 21, 20.7999992371, 20.885713849752374, 
06/10/2017 05, 20.7999992371, 20.5, 20.626667022719996, 
06/10/2017 06, 21.3999996185, 20.7999992371, 21.099999966839132, 
06/10/2017 07, 22.7000007629, 21.2999992371, 21.873684230600006, 
06/10/2017 08, 24.8999996185, 22.7000007629, 23.658333222070834, 
06/10/2017 09, 26.3999996185, 24.7999992371, 25.238461274388463, 
06/10/2017 10, 27.2999992371, 26.5, 26.861904598423806, 
06/10/2017 11, 28.1000003815, 26.7999992371, 27.5318181298, 
06/10/2017 12, 27.3999996185, 26.1000003815, 26.665217606908705, 
06/10/2017 13, 26.7999992371, 26.1000003815, 26.491304231726087, 
06/10/2017 14, 27.6000003815, 26.6000003815, 27.04999990463, 
06/10/2017 15, 28.2999992371, 27.1000003815, 27.524999777470835, 
06/10/2017 16, 28, 27, 27.42857133774762, 
06/10/2017 17, 27.7000007629, 26.7999992371, 27.23181793905909, 
06/10/2017 18, 26.7999992371, 25.2999992371, 25.90384593376539, 
06/10/2017 19, 25.2999992371, 24.5, 24.769999980940007, 
06/10/2017 20, 24.5, 23.7999992371, 24.057142530166658, 
06/10/2017 21, 23.7999992371, 23.2000007629, 23.520000203446664, 
06/10/2017 22, 23.1000003815, 22.7000007629, 22.939999866484992, 
06/10/2017 23, 22.7000007629, 22.1000003815, 22.459090926440908, 
06/11/2017 00, 22, 21.7000007629, 21.858332951866668, 
06/11/2017 01, 21.7000007629, 21.1000003815, 21.33636387910455, 
06/11/2017 02, 21.1000003815, 20.7000007629, 20.91363629427272, 
06/11/2017 03, 20.8999996185, 20.7999992371, 20.88999958035999, 
06/11/2017 04, 20.8999996185, 20.7999992371, 20.882608247821732, 
06/11/2017 05, 20.8999996185, 20.7000007629, 20.812499642375002, 
06/11/2017 06, 21.1000003815, 20.7000007629, 20.866666793816666, 
06/11/2017 07, 23.2000007629, 21.8999996185, 22.577777968505558, 
06/11/2017 08, 25, 23.3999996185, 23.83846165583077, 
06/11/2017 09, 26, 25.2999992371, 25.55555555553888, 
06/11/2017 10, 26.7999992371, 25.5, 26.103571414950004, 
06/11/2017 11, 27.1000003815, 26.3999996185, 26.77999992371, 
06/11/2017 12, 28.2000007629, 27, 27.505000209815005, 
06/11/2017 13, 28.2000007629, 27.2999992371, 27.759090857077275, 
06/11/2017 14, 28.7000007629, 26.8999996185, 28.028571537557145, 
06/11/2017 15, 28.5, 27.7999992371, 28.18846137706923, 
06/11/2017 16, 29.1000003815, 28.2000007629, 28.890565944167935, 
06/11/2017 17, 28.8999996185, 27.3999996185, 28.358695859497818, 
06/11/2017 18, 27.3999996185, 26.1000003815, 26.48333295186667, 
