datetime, Max, Min, Average,
01/14/2017 06,3.099999905,2.700000048,2.866666663, 
01/14/2017 07,3.700000048,2.5,2.996666662, 
01/14/2017 08,6.300000191,3.799999952,5.149999968, 
01/14/2017 09,9.399999619,6.300000191,7.811666679, 
01/14/2017 10,11.69999981,9.5,10.5716667, 
01/14/2017 11,13.89999962,11.60000038,12.67833333, 
01/14/2017 12,15.89999962,13.60000038,14.92499997, 
01/14/2017 13,16.20000076,15.30000019,15.73, 
01/14/2017 14,15.89999962,15.30000019,15.60333344, 
01/14/2017 15,15.89999962,15.10000038,15.33666668, 
01/14/2017 16,15,12.80000019,13.94333334, 
01/14/2017 17,12.80000019,11.39999962,12.02499989, 
01/14/2017 18,11.30000019,10.69999981,10.99333328, 
01/14/2017 19,10.69999981,9.5,10.25666666, 
01/14/2017 20,9.399999619,8,8.766666667, 
01/14/2017 21,7.900000095,6.900000095,7.276666617, 
01/14/2017 22,7,6.099999905,6.630000035, 
01/14/2017 23,6.199999809,5.199999809,5.616666706, 
01/15/2017 00,5.199999809,4.5,4.854999987, 
01/15/2017 01,4.5,4,4.345000029, 
01/15/2017 02,4,3.5,3.771666682, 
01/15/2017 03,3.599999905,3.099999905,3.326666661, 
01/15/2017 04,3.200000048,2.799999952,3.0683333, 
01/15/2017 05,2.799999952,2.5,2.624999964, 
01/15/2017 06,2.799999952,2.5,2.594999969, 
01/15/2017 07,3.900000095,2.599999905,3.071666654, 
01/15/2017 08,6.800000191,4,5.120000005, 
01/15/2017 09,10.10000038,6.900000095,8.473333343, 
01/15/2017 10,13,10.19999981,11.21833326, 
01/15/2017 11,14.89999962,12.30000019,13.79799994, 
01/15/2017 12,16.70000076,14.80000019,15.69777783, 
01/15/2017 13,17.29999924,16.60000038,16.97586211, 
01/15/2017 14,17.39999962,16.5,17.03090893, 
01/15/2017 15,16.79999924,16,16.34651189, 
01/15/2017 16,16,13.89999962,15.07333333, 
01/15/2017 17,13.80000019,12.60000038,12.98793104, 
01/15/2017 18,12.60000038,11.89999962,12.23833316, 
01/15/2017 19,11.89999962,10.39999962,11.03833337, 
01/15/2017 20,10.39999962,8.600000381,9.648333311, 
01/15/2017 21,8.600000381,7.400000095,8.111666751, 
01/15/2017 22,7.699999809,6.599999905,7.018333236, 
01/15/2017 23,6.699999809,5.900000095,6.241666675, 
01/16/2017 00,6.199999809,5.5,5.831666644, 
01/16/2017 01,5.5,4.699999809,5.151666713, 
01/16/2017 02,4.699999809,4.199999809,4.483333341, 
01/16/2017 03,4.699999809,4,4.264999978, 
01/16/2017 04,4.099999905,3.599999905,3.821666662, 
