datetime, Max, Min, Average
11/04/2017 20, 17.7000007629, 16.7999992371, 17.32000010807333, 
11/04/2017 21, 16.7999992371, 15.8999996185, 16.33833344777834, 
11/04/2017 22, 15.8999996185, 15.3000001907, 15.516666650765005, 
11/04/2017 23, 15.3999996185, 14, 15.146666622153335, 
11/05/2017 00, 14.3000001907, 13.8000001907, 14.091666682571661, 
11/05/2017 01, 13.8000001907, 12.8999996185, 13.446666701634996, 
11/05/2017 02, 13.1999998093, 12.8999996185, 13.023333231609996, 
11/05/2017 03, 12.8999996185, 12.6000003815, 12.821428525990475, 
11/05/2017 04, 12.6000003815, 12, 12.246428694053572, 
11/05/2017 05, 12.1000003815, 11.8000001907, 11.939999898259998, 
11/05/2017 06, 12.6999998093, 12, 12.103333441426665, 
11/05/2017 07, 14.6000003815, 12.6999998093, 13.574999984106672, 
11/05/2017 08, 19.7999992371, 14.6000003815, 17.375000000001663, 
11/05/2017 09, 20.7000007629, 18.3999996185, 19.310869548630436, 
11/05/2017 10, 22.3999996185, 20.5, 21.441666571296672, 
11/05/2017 11, 24.2000007629, 22.2000007629, 23.568333403264994, 
11/05/2017 12, 25.2000007629, 23.8999996185, 24.350000095366667, 
11/05/2017 13, 25, 23.7000007629, 24.306896505686215, 
11/05/2017 14, 23.7999992371, 23.1000003815, 23.359999974580003, 
11/05/2017 15, 23.6000003815, 22, 22.94166647592834, 
11/05/2017 16, 22, 20.2999992371, 21.063333288833334, 
11/05/2017 17, 20.2999992371, 19.5, 19.88166672388833, 
11/05/2017 18, 19.5, 18.7000007629, 19.22000001271666, 
11/05/2017 19, 18.7000007629, 17.5, 18.125000000005, 
11/05/2017 20, 17.5, 17, 17.24074095265556, 
11/05/2017 21, 16.1000003815, 15.6000003815, 15.922034004994913, 
11/05/2017 22, 15.6000003815, 14.6999998093, 15.271666558573333, 
11/05/2017 23, 14.8000001907, 14.6000003815, 14.713043544613045, 
11/06/2017 00, 14.1000003815, 13.6000003815, 13.738461518917948, 
11/06/2017 01, 13.6000003815, 12.8999996185, 13.184848496396969, 
11/06/2017 02, 12.8999996185, 12.3000001907, 12.567441807237206, 
11/06/2017 03, 12.3999996185, 12.1999998093, 12.316666603066665, 
11/06/2017 04, 12.1999998093, 11.8999996185, 12.086666599925003, 
11/06/2017 05, 11.8999996185, 11.5, 11.740000089004992, 
11/06/2017 06, 12.1000003815, 11.3000001907, 11.679999939598328, 
11/06/2017 07, 14.3000001907, 12.1999998093, 13.249999999999998, 
11/06/2017 08, 18.3999996185, 14.3999996185, 16.351666609448337, 
11/06/2017 09, 20.5, 18.5, 19.168518525581483, 
11/06/2017 10, 23.5, 20.3999996185, 21.63275866672931, 
11/06/2017 11, 23.7999992371, 22.7000007629, 23.254999923710013, 
11/06/2017 12, 25.3999996185, 23.8999996185, 24.63269237371922, 
11/06/2017 14, 24.5, 24, 24.25294135597059, 
11/06/2017 15, 24.2000007629, 22.7999992371, 23.683333301541673, 
11/06/2017 16, 23.3999996185, 21, 21.300000240921058, 
11/06/2017 18, 20, 20, 20, 
11/06/2017 19, 19.2000007629, 18.7999992371, 19.04285730631429, 
11/06/2017 20, 18.7999992371, 17.7000007629, 18.373333358766676, 
11/06/2017 21, 17.7000007629, 16.5, 17.028333282473334, 
11/06/2017 22, 16.5, 15.6999998093, 16.11333325702834, 
11/06/2017 23, 15.6999998093, 14.6999998093, 15.270000012718327, 
11/07/2017 00, 14.6999998093, 13.8999996185, 14.293333403268326, 
11/07/2017 01, 14.3000001907, 13.1999998093, 13.821666669846666, 
11/07/2017 02, 13.1999998093, 12.8000001907, 13.004999955495002, 
11/07/2017 03, 12.8999996185, 12.6999998093, 12.789999993626667, 
11/07/2017 04, 12.8000001907, 12.1999998093, 12.478333377845008, 
11/07/2017 05, 12.1999998093, 12, 12.100000275533331, 
11/07/2017 06, 12.8000001907, 12.1000003815, 12.348333422334997, 
11/07/2017 07, 14.6999998093, 12.8000001907, 13.741666666668333, 
11/07/2017 08, 18.8999996185, 14.8000001907, 17.006666771568334, 
11/07/2017 09, 21.2000007629, 18.8999996185, 19.914545475347275, 
