datetime, Max, Min, Average,
06/01/2018 00,19.70000076,19.29999924,19.60678007, 
06/01/2018 01,19.39999962,19,19.1440678, 
06/01/2018 02,19.10000038,18.70000076,18.89999965, 
06/01/2018 03,19.39999962,18.70000076,19.19999971, 
06/01/2018 04,19.39999962,19,19.17931073, 
06/01/2018 05,19.60000038,19.20000076,19.42666655, 
06/01/2018 06,19.79999924,19.20000076,19.51896559, 
06/01/2018 07,19.20000076,18,18.42166694, 
06/01/2018 08,19.39999962,18.29999924,18.99833326, 
06/01/2018 09,22.5,19.5,21.07966103, 
06/01/2018 10,24,22.10000038,22.96610169, 
06/01/2018 11,25,23.60000038,24.18666658, 
06/01/2018 12,26.60000038,24.5,25.4034483, 
06/01/2018 13,27.39999962,26,26.64499995, 
06/01/2018 14,27.29999924,24.79999924,26.1266667, 
06/01/2018 15,26.10000038,24,24.86999985, 
06/01/2018 16,26.79999924,25.29999924,25.92000001, 
06/01/2018 17,25.60000038,24.60000038,25.04333363, 
06/01/2018 18,24.60000038,23.20000076,23.88666681, 
06/01/2018 19,23.20000076,22.79999924,22.9816666, 
06/01/2018 20,22.89999962,22.5,22.73833329, 
06/01/2018 21,22.5,22,22.3049997, 
06/01/2018 22,22,21.79999924,21.89833295, 
06/01/2018 23,21.89999962,21.20000076,21.64166648, 
06/02/2018 00,21.20000076,20.20000076,20.85166667, 
06/02/2018 01,20.10000038,19.60000038,19.90333331, 
06/02/2018 02,19.60000038,19.29999924,19.49833333, 
06/02/2018 03,19.39999962,19.10000038,19.28644048, 
06/02/2018 04,19.5,19.20000076,19.33999971, 
06/02/2018 05,19.5,19.20000076,19.35666663, 
06/02/2018 06,19.70000076,19.20000076,19.47666661, 
06/02/2018 07,20.5,19.70000076,20.17333326, 
06/02/2018 08,21.70000076,20.5,21.12166681, 
06/02/2018 09,23.10000038,21.60000038,22.19666672, 
06/02/2018 10,23.70000076,23,23.45166683, 
06/02/2018 11,24.79999924,23.60000038,24.20333331, 
06/02/2018 12,26,24.5,25.27999992, 
06/02/2018 13,26.29999924,25.70000076,26.00999982, 
06/02/2018 14,26.10000038,23.70000076,25.04500008, 
06/02/2018 15,23.70000076,22.60000038,23.18305077, 
06/02/2018 16,23.60000038,22.60000038,23.24166654, 
06/02/2018 17,23.89999962,23.29999924,23.65166674, 
06/02/2018 18,23.79999924,22.39999962,22.97000014, 
06/02/2018 19,22.39999962,21.60000038,21.96000013, 
06/02/2018 20,21.60000038,21,21.30666682, 
06/02/2018 21,21,20.5,20.80166655, 
06/02/2018 22,20.70000076,20.10000038,20.35833362, 
06/02/2018 23,20.20000076,20,20.09166702, 
06/03/2018 00,20.10000038,19.79999924,19.97999992, 
06/03/2018 01,19.79999924,19.60000038,19.66500034, 
06/03/2018 02,19.60000038,19.39999962,19.4816666, 
06/03/2018 03,19.29999924,18.89999962,19.10000006, 
06/03/2018 04,18.89999962,18.39999962,18.70499986, 
06/03/2018 05,18.70000076,18.20000076,18.36999963, 
06/03/2018 06,19.89999962,18.70000076,19.28833329, 
06/03/2018 07,21.5,20,20.60833343, 
06/03/2018 08,24.29999924,21.5,22.61833334, 
06/03/2018 09,26.10000038,24.20000076,24.89666659, 
06/03/2018 10,27.29999924,25.79999924,26.59333331, 
06/03/2018 11,28.5,27.10000038,27.85166661, 
06/03/2018 12,28.79999924,26.70000076,27.59333331, 
06/03/2018 13,26.70000076,17.5,21.84833345, 
06/03/2018 14,19.60000038,18.70000076,19.36499987, 
06/03/2018 15,20.39999962,19.29999924,19.9016667, 
06/03/2018 16,21.60000038,20.5,21.03500004, 
06/03/2018 17,24.20000076,21.60000038,23.35666669, 
06/03/2018 18,23.79999924,22.5,23.27166675, 
06/03/2018 19,22.5,21.89999962,22.25166664, 
06/03/2018 20,22,21.79999924,21.88333289, 
06/03/2018 21,21.79999924,21.5,21.68000024, 
06/03/2018 22,21.60000038,21.20000076,21.34166641, 
06/03/2018 23,21.20000076,20.60000038,20.89000025, 
06/04/2018 00,20.70000076,20.5,20.62833382, 
06/04/2018 01,20.60000038,20.29999924,20.38666623, 
06/04/2018 02,20.39999962,20.29999924,20.33389767, 
