datetime, Max, Min, Average,
11/01/2018 00,14,13.30000019,13.64999994, 
11/01/2018 01,13.60000038,13.19999981,13.4666667, 
11/01/2018 02,13,12.69999981,12.83333333, 
11/01/2018 03,12.80000019,11.89999962,12.19999981, 
11/01/2018 04,11.80000019,11.30000019,11.51666657, 
11/01/2018 05,11.60000038,11.19999981,11.38333321, 
11/01/2018 06,11.69999981,11.19999981,11.38333321, 
11/01/2018 07,14.30000019,12,12.9666667, 
11/01/2018 08,18.39999962,14.5,16.4333334, 
11/01/2018 09,21.10000038,18.20000076,19.98333359, 
11/01/2018 10,23,20.89999962,22.01666673, 
11/01/2018 11,24.20000076,23,23.73333359, 
11/01/2018 12,25.70000076,24.10000038,24.98333359, 
11/01/2018 13,25.70000076,24.60000038,25.06666724, 
11/01/2018 14,24.79999924,23.79999924,24.34999975, 
11/01/2018 15,24.5,23.79999924,24.0666666, 
11/01/2018 16,23.89999962,22.29999924,23.13333321, 
11/01/2018 17,21.89999962,20.39999962,21.03333314, 
11/01/2018 18,20.10000038,19.29999924,19.79999987, 
11/01/2018 19,19.10000038,18.5,18.73333359, 
11/01/2018 20,18.20000076,17,17.64999994, 
11/01/2018 21,16.5,15.39999962,15.9000001, 
11/01/2018 22,15.5,14.89999962,15.26666657, 
11/01/2018 23,14.80000019,14.30000019,14.60000022, 
11/02/2018 00,14.10000038,13.5,13.76666673, 
11/02/2018 01,13.19999981,12.39999962,12.76666641, 
11/02/2018 02,13.10000038,12.39999962,12.83333317, 
11/02/2018 03,12.30000019,11.89999962,12.05000003, 
11/02/2018 04,11.69999981,11.30000019,11.48333327, 
11/02/2018 05,11.30000019,11.19999981,11.21666654, 
11/02/2018 06,11.80000019,11.19999981,11.4333334, 
11/02/2018 07,13.5,11.89999962,12.58333333, 
11/02/2018 08,18.10000038,13.80000019,15.9000001, 
11/02/2018 09,20.29999924,18.20000076,19.30000019, 
11/02/2018 10,21.29999924,20.39999962,20.95000013, 
11/02/2018 11,23.5,21.5,22.53333314, 
11/02/2018 12,24.20000076,23.70000076,23.91666698, 
11/02/2018 13,24.20000076,23.89999962,24.05000019, 
11/02/2018 14,24.60000038,23.20000076,23.84999975, 
11/02/2018 15,23.39999962,22.29999924,22.73333327, 
11/02/2018 16,22.20000076,21.10000038,21.78333346, 
11/02/2018 17,20.70000076,20,20.28333346, 
11/02/2018 18,19.79999924,19,19.46666654, 
11/02/2018 19,18.5,17.39999962,18.04999987, 
11/02/2018 20,17.20000076,16.5,16.83333365, 
11/02/2018 21,16.20000076,15,15.58333333, 
11/02/2018 22,14.69999981,14.19999981,14.48333327, 
11/02/2018 23,14.10000038,13.5,13.8499999, 
11/03/2018 00,13.30000019,12.60000038,12.98333343, 
11/03/2018 01,12.60000038,12.19999981,12.3499999, 
11/03/2018 02,12.19999981,11.89999962,12.0666666, 
11/03/2018 03,12,11.10000038,11.38333352, 
11/03/2018 04,11.10000038,10.60000038,10.9000001, 
