datetime, Max, Min, Average,
02/01/2018 00,9.699999809,9.300000191,9.575000095, 
02/01/2018 01,9.300000191,8.100000381,8.714999978, 
02/01/2018 02,8.100000381,7.900000095,8.00333341, 
02/01/2018 03,7.900000095,7.599999905,7.713333297, 
02/01/2018 04,7.699999809,7.400000095,7.521666646, 
02/01/2018 05,7.699999809,7.599999905,7.693749815, 
02/01/2018 06,7.400000095,7.099999905,7.27735846, 
02/01/2018 07,7.599999905,7.199999809,7.291666698, 
02/01/2018 08,10.19999981,7.599999905,8.681818156, 
02/01/2018 09,13.30000019,10.30000019,11.55000005, 
02/01/2018 10,14.60000038,13.19999981,13.89166663, 
02/01/2018 11,16,14.5,15.11166666, 
02/01/2018 12,17.10000038,15.39999962,16.21166681, 
02/01/2018 13,17.39999962,16.20000076,16.74666659, 
02/01/2018 14,17.29999924,16.79999924,17.0350001, 
02/01/2018 15,17.29999924,16.5,16.73333327, 
02/01/2018 16,16.39999962,15.19999981,15.75499999, 
02/01/2018 17,15.19999981,13.80000019,14.44333336, 
02/01/2018 18,13.80000019,13,13.31500012, 
02/01/2018 19,13,12.39999962,12.75333327, 
02/01/2018 20,12.39999962,11.19999981,11.92333334, 
02/01/2018 21,11.19999981,10.19999981,10.65000003, 
02/01/2018 22,10.10000038,9.300000191,9.569999981, 
02/01/2018 23,9.300000191,8.300000191,8.751666705, 
02/02/2018 00,8.300000191,8,8.18166674, 
02/02/2018 01,8,7.199999809,7.60666666, 
02/02/2018 02,7.300000191,6.900000095,7.173333295, 
02/02/2018 03,7,6.400000095,6.736666671, 
02/02/2018 04,6.400000095,6,6.246666694, 
02/02/2018 05,6.199999809,5.699999809,5.915000041, 
02/02/2018 06,6,5.800000191,5.941666722, 
02/02/2018 07,6.199999809,5.800000191,5.943333387, 
02/02/2018 08,7.699999809,6.199999809,6.791999979, 
02/02/2018 09,9.800000191,8.100000381,8.771153743, 
02/02/2018 10,15,9.800000191,12.34666665, 
02/02/2018 11,16.79999924,14.89999962,16.03000005, 
02/02/2018 12,18.60000038,16.5,17.6183335, 
02/02/2018 13,19.20000076,18.29999924,18.88166679, 
02/02/2018 14,19.70000076,18.70000076,19.24666665, 
02/02/2018 15,19,18,18.39833342, 
02/02/2018 16,17.89999962,16.60000038,17.27166669, 
02/02/2018 17,16.5,14.89999962,15.58833334, 
02/02/2018 18,14.80000019,13.69999981,14.22666664, 
02/02/2018 19,13.69999981,12.89999962,13.25499999, 
02/02/2018 20,12.89999962,12,12.43499999, 
02/02/2018 21,12,10.80000019,11.52999999, 
02/02/2018 22,10.80000019,10.10000038,10.4866667, 
02/02/2018 23,10.19999981,10.10000038,10.14666678, 
02/03/2018 00,10.10000038,9.300000191,9.694999981, 
02/03/2018 01,9.300000191,8.300000191,8.85666666, 
02/03/2018 02,8.300000191,7.800000191,8.03833344, 
02/03/2018 03,8.199999809,7.699999809,7.898333462, 
02/03/2018 04,8.5,8.199999809,8.438333305, 
02/03/2018 05,8.800000191,8.5,8.631666708, 
02/03/2018 06,9,8.800000191,8.914999978, 
02/03/2018 07,9.100000381,8.899999619,8.971666559, 
02/03/2018 08,11,9.100000381,10.01333329, 
02/03/2018 09,14.5,11.10000038,12.67499995, 
02/03/2018 10,16.60000038,14.10000038,15.23728814, 
02/03/2018 11,17.60000038,15.69999981,16.59649136, 
02/03/2018 12,19,17.29999924,18.12181802, 
02/03/2018 13,19.10000038,18.70000076,18.90181812, 
02/03/2018 14,19.39999962,18.29999924,18.88793097, 
02/03/2018 15,18.79999924,18.10000038,18.55416671, 
02/03/2018 16,18.20000076,16.70000076,17.328125, 
02/03/2018 17,16.70000076,15.10000038,15.89454552, 
02/03/2018 18,15.10000038,14.19999981,14.66499998, 
02/03/2018 19,14.19999981,13.10000038,13.6216667, 
02/03/2018 20,13.19999981,12.39999962,12.93000008, 
02/03/2018 21,12.39999962,11.19999981,11.63999993, 
02/03/2018 22,11.19999981,10,10.59666665, 
02/03/2018 23,10,9,9.519999997, 
02/04/2018 00,9.100000381,8.5,8.788333225, 
02/04/2018 01,8.5,8,8.273333343, 
02/04/2018 02,7.900000095,7.300000191,7.563333384, 
02/04/2018 03,7.5,7,7.275000048, 
02/04/2018 04,7,6.5,6.716666595, 
02/04/2018 05,6.599999905,6.300000191,6.501666665, 
02/04/2018 06,6.699999809,6.099999905,6.459999975, 
02/04/2018 07,7,6.199999809,6.614999986, 
02/04/2018 08,9.899999619,7,8.113333313, 
02/04/2018 09,13.39999962,10,11.74499998, 
02/04/2018 10,16.5,13.5,14.79499995, 
02/04/2018 11,19.60000038,16.70000076,18.08499985, 
02/04/2018 12,19.60000038,19,19.38499985, 
02/04/2018 13,19.70000076,19.20000076,19.51500012, 
02/04/2018 14,19.89999962,19.5,19.6783336, 
02/04/2018 15,20.39999962,19.5,19.91333342, 
02/04/2018 16,19.5,18.70000076,19.06333326, 
02/04/2018 17,18.60000038,16.89999962,17.62105262, 
02/04/2018 18,16.89999962,15.10000038,15.94000007, 
02/04/2018 19,15,13.60000038,14.4116667, 
02/04/2018 20,13.69999981,12.69999981,13.19166667, 
02/04/2018 21,12.60000038,10.89999962,11.67000001, 
02/04/2018 22,10.89999962,9.5,10.10999999, 
02/04/2018 23,9.5,8.800000191,8.986666584, 
02/05/2018 00,8.800000191,8.100000381,8.475000111, 
02/05/2018 01,8.300000191,7.5,7.778333346, 
