datetime, Max, Min, Average,
01/25/2018 15,16.39999962,15.30000019,15.86666671, 
01/25/2018 16,15.60000038,13.5,14.36166668, 
01/25/2018 17,13.5,12.39999962,12.99166667, 
01/25/2018 18,12.39999962,11.80000019,12.03833329, 
01/25/2018 19,11.80000019,10.69999981,11.24999995, 
01/25/2018 20,10.69999981,9.800000191,10.33, 
01/25/2018 21,9.800000191,8.699999809,9.128333298, 
01/25/2018 22,8.699999809,8.100000381,8.481666644, 
01/25/2018 23,8.100000381,7.599999905,7.791666698, 
01/26/2018 00,7.599999905,6.699999809,7.140000057, 
01/26/2018 01,6.900000095,6.300000191,6.558333445, 
01/26/2018 02,6.300000191,5.699999809,6.003333338, 
01/26/2018 03,5.699999809,5.199999809,5.483333341, 
01/26/2018 04,5.199999809,5,5.103333235, 
01/26/2018 05,5,4.800000191,4.951666713, 
01/26/2018 06,4.900000095,4.699999809,4.786666719, 
01/26/2018 07,5.199999809,4.699999809,4.906666708, 
01/26/2018 08,7,5.199999809,5.856666668, 
01/26/2018 09,9.100000381,6.699999809,7.811666679, 
01/26/2018 10,13.89999962,9.199999809,11.66999997, 
01/26/2018 11,15.69999981,13.89999962,14.94499995, 
01/26/2018 12,16.79999924,15,16.09000007, 
01/26/2018 13,17.20000076,16.39999962,16.8499999, 
01/26/2018 14,17.79999924,16.10000038,16.90500002, 
01/26/2018 15,16.5,15.5,15.85333339, 
01/26/2018 16,15.60000038,13.60000038,14.74000009, 
01/26/2018 17,13.5,12.30000019,12.99137928, 
01/26/2018 18,12.30000019,11.60000038,11.94500003, 
01/26/2018 19,11.80000019,10.89999962,11.29499993, 
01/26/2018 20,10.89999962,10.30000019,10.60166685, 
01/26/2018 21,10.30000019,9.600000381,9.849999936, 
01/26/2018 22,9.5,8.300000191,9.008333317, 
01/26/2018 23,8.300000191,7.699999809,7.890000081, 
01/27/2018 00,7.699999809,6.900000095,7.368333292, 
01/27/2018 01,6.900000095,6.599999905,6.669999933, 
01/27/2018 02,6.699999809,6.300000191,6.544999957, 
01/27/2018 03,6.400000095,5.699999809,5.985000054, 
01/27/2018 04,6,5.300000191,5.648333367, 
01/27/2018 05,5.300000191,4.900000095,5.044999965, 
01/27/2018 06,4.900000095,4.400000095,4.572727281, 
01/27/2018 07,5.599999905,4.5,5.142105266, 
01/27/2018 08,8.899999619,5.699999809,6.89666667, 
01/27/2018 09,11.19999981,9,10.18771928, 
01/27/2018 10,13.80000019,11,12.30526313, 
01/27/2018 11,15,13,14.15166663, 
01/27/2018 12,15.89999962,14.80000019,15.33499999, 
01/27/2018 13,15.39999962,14.5,14.76500006, 
01/27/2018 14,16,14.5,15.20833338, 
01/27/2018 15,15.80000019,15,15.44909091, 
01/27/2018 16,14.89999962,14,14.33666666, 
01/27/2018 17,13.89999962,12.19999981,12.99999998, 
01/27/2018 18,12,10.89999962,11.45531902, 
01/27/2018 19,10.80000019,9.699999809,10.14423071, 
01/27/2018 20,9.699999809,8.5,9.139999962, 
01/27/2018 21,8.5,7.400000095,8.00333337, 
01/27/2018 22,7.400000095,6.800000191,7.010000062, 
01/27/2018 23,6.800000191,5.900000095,6.331666668, 
01/28/2018 00,6,5.300000191,5.705660397, 
01/28/2018 01,5.199999809,5,5.096666574, 
01/28/2018 02,5.099999905,4.699999809,4.868750036, 
01/28/2018 03,4.699999809,3.700000048,4.103921563, 
01/28/2018 04,4.199999809,3.799999952,3.989999986, 
01/28/2018 05,4,3.5,3.751020412, 
01/28/2018 06,4,3.5,3.70333333, 
01/28/2018 07,4.800000191,3.799999952,4.21333336, 
01/28/2018 08,8,4.800000191,6.280769229, 
01/28/2018 09,11.39999962,8.100000381,9.818333308, 
01/28/2018 10,14.19999981,11.60000038,12.68965517, 
01/28/2018 11,15.80000019,13.89999962,14.96166662, 
01/28/2018 12,16.89999962,15.30000019,16.0466667, 
01/28/2018 13,17.29999924,16.39999962,16.88499994, 
01/28/2018 14,17.60000038,16.20000076,16.8254902, 
01/28/2018 15,16.70000076,15.60000038,16.05833349, 
01/28/2018 16,15.5,13.80000019,14.7890909, 
01/28/2018 17,13.80000019,11.80000019,12.62333333, 
01/28/2018 18,11.69999981,10.30000019,10.90833337, 
01/28/2018 19,10.30000019,9.399999619,9.741666587, 
01/28/2018 20,9.399999619,8.399999619,9.018181801, 
01/28/2018 21,8.5,7.699999809,8.062162219, 
01/28/2018 22,7.699999809,6.900000095,7.276666657, 
01/28/2018 23,6.900000095,6.300000191,6.693333387, 
01/29/2018 00,6.300000191,5.900000095,6.086666703, 
01/29/2018 01,5.900000095,5.199999809,5.528333386, 
01/29/2018 02,5.5,4.800000191,5.198333343, 
01/29/2018 03,4.699999809,4.099999905,4.453333275, 
01/29/2018 04,4.400000095,4,4.201666625, 
01/29/2018 05,4,3.799999952,3.930000019, 
01/29/2018 06,4,3.599999905,3.765000017, 
01/29/2018 07,4.5,3.700000048,4.019999997, 
01/29/2018 08,7.199999809,4.5,5.666666659, 
01/29/2018 09,10,7.300000191,9.067272689, 
01/29/2018 10,12.39999962,10.10000038,11.30370366, 
01/29/2018 11,14.5,12.30000019,13.71500003, 
01/29/2018 12,16.70000076,14.5,15.60333339, 
01/29/2018 13,16.79999924,15.39999962,16.20166685, 
01/29/2018 14,16.39999962,15.5,15.90666674, 
01/29/2018 15,16.10000038,15,15.44666675, 
01/29/2018 16,15.19999981,13.89999962,14.52999996, 
01/29/2018 17,13.80000019,12.19999981,12.85666664, 
01/29/2018 18,12.19999981,11.30000019,11.63818183, 
01/29/2018 19,11.30000019,10.39999962,10.9633333, 
01/29/2018 20,10.39999962,9.399999619,9.891666603, 
01/29/2018 21,9.399999619,8.399999619,8.828333298, 
01/29/2018 22,8.399999619,7.5,7.991666667, 
01/29/2018 23,7.5,7.099999905,7.264999962, 
01/30/2018 00,7.099999905,6.400000095,6.801666697, 
01/30/2018 01,6.400000095,5.800000191,6.055000019, 
01/30/2018 02,6.400000095,5.800000191,6.118181888, 
01/30/2018 03,7.099999905,6.5,6.785454551, 
01/30/2018 04,7.199999809,7.099999905,7.121666551, 
01/30/2018 05,7.199999809,6.800000191,7.028333306, 
01/30/2018 06,6.800000191,6.199999809,6.480000019, 
01/30/2018 07,7,6.099999905,6.458333333, 
01/30/2018 08,9.399999619,7,7.970000005, 
01/30/2018 09,11.89999962,9.5,10.5216667, 
01/30/2018 10,14.5,11.60000038,12.75833324, 
01/30/2018 11,14.60000038,13.69999981,14.13999998, 
01/30/2018 12,16.60000038,14.39999962,15.82000006, 
01/30/2018 13,18.20000076,16.5,17.27166675, 
01/30/2018 14,17.70000076,16.39999962,17.01833318, 
01/30/2018 15,16.89999962,15.60000038,16.24666677, 
01/30/2018 16,15.69999981,14.69999981,15.28333338, 
01/30/2018 17,14.60000038,12.89999962,13.65090913, 
01/30/2018 18,12.89999962,12.10000038,12.44166671, 
01/30/2018 19,12.10000038,11,11.61333335, 
01/30/2018 20,11,10.10000038,10.54833326, 
01/30/2018 21,10.10000038,9,9.424999984, 
01/30/2018 22,9,8.100000381,8.528333394, 
01/30/2018 23,8.100000381,7.599999905,7.861666791, 
01/31/2018 00,7.699999809,7.099999905,7.325000032, 
01/31/2018 01,7.099999905,6.5,6.866666667, 
01/31/2018 02,6.599999905,6,6.234999967, 
01/31/2018 03,6,5.699999809,5.894915322, 
01/31/2018 04,5.800000191,5.599999905,5.717999945, 
01/31/2018 05,5.800000191,5.5,5.620689557, 
01/31/2018 06,5.900000095,5.5,5.599999946, 
01/31/2018 07,6.400000095,5.900000095,6.060416698, 
01/31/2018 08,8.800000191,6.400000095,7.438333344, 
01/31/2018 09,11.39999962,8.800000191,10.44666664, 
01/31/2018 10,14.10000038,11.5,12.52413789, 
01/31/2018 11,15.10000038,13.89999962,14.62666661, 
01/31/2018 12,15.39999962,14,14.67547172, 
01/31/2018 13,15.19999981,14.69999981,15.02121229, 
01/31/2018 14,15.5,14.80000019,15.08363646, 
01/31/2018 15,14.80000019,13.89999962,14.36000009, 
01/31/2018 16,14.19999981,13,13.58478268, 
01/31/2018 17,13,11.80000019,12.3285713, 
01/31/2018 18,11.80000019,11.10000038,11.42000004, 
01/31/2018 19,11.10000038,10.39999962,10.76499995, 
01/31/2018 20,10.39999962,9.699999809,10.1566666, 
01/31/2018 21,9.899999619,9.199999809,9.543333276, 
01/31/2018 22,10.19999981,9.899999619,10.07166677, 
01/31/2018 23,10,9.699999809,9.863333289, 
